Evaluator Dyade,Irrelevant,Kosmetisch,Gering,Bedeutend,Katastrophe,Irrelevant_S,Kosmetisch_S,Gering_S,Bedeutend_S,Katastrophe_S
AB,0,1,2,2,1,0,0,0,0,0
AC,0,1,1,2,1,0,0,0,1,0
AD,0,1,3,2,1,0,0,0,1,0
AE,0,2,4,1,0,0,0,0,1,1
BC,0,0,1,2,0,0,0,0,0,0
BD,0,0,2,4,0,0,0,0,0,0
BE,0,1,4,1,1,0,0,0,0,0
CD,0,0,2,2,2,0,0,1,0,0
CE,0,1,3,3,1,0,0,0,0,0
DE,0,1,5,3,1,0,0,0,0,0
