2018-12-05 10:05:41,843;click;1003;86;left
2018-12-05 10:06:47,186;click;38;213;left
2018-12-05 10:06:52,647;click;285;269;left
2018-12-05 10:06:55,775;click;425;436;left
2018-12-05 10:07:03,614;click;1041;741;left
2018-12-05 10:07:05,678;click;360;207;left
2018-12-05 10:07:06,682;click;681;685;left
2018-12-05 10:07:25,323;click;1149;317;left
2018-12-05 10:07:28,822;click;474;319;left
2018-12-05 10:07:31,188;click;639;446;left
2018-12-05 10:07:35,170;click;813;788;left
2018-12-05 10:07:36,774;click;639;614;left
2018-12-05 10:08:08,328;click;768;470;left
2018-12-05 10:08:09,096;click;771;470;left
2018-12-05 10:08:20,687;click;506;491;left
2018-12-05 10:08:23,402;click;957;447;left
2018-12-05 10:08:51,246;click;703;477;left
2018-12-05 10:09:00,808;click;1128;440;left
2018-12-05 10:09:04,667;click;1104;578;left
2018-12-05 10:09:07,670;click;1031;417;left
2018-12-05 10:09:11,922;click;1165;407;left
2018-12-05 10:09:20,992;click;476;535;left
2018-12-05 10:09:23,818;click;637;667;left
2018-12-05 10:09:29,380;click;705;737;left
2018-12-05 10:09:31,083;click;652;647;left
2018-12-05 10:09:32,631;click;1007;489;left
2018-12-05 10:09:46,696;click;1115;654;left
2018-12-05 10:09:52,793;click;1196;339;left
2018-12-05 10:09:58,192;click;82;619;left
2018-12-05 10:10:00,280;click;1086;504;left
2018-12-05 10:10:30,744;click;713;697;left
2018-12-05 10:10:43,211;click;1193;359;left
2018-12-05 10:10:58,718;click;187;537;left
2018-12-05 10:11:02,253;click;377;744;left
2018-12-05 10:11:03,538;click;377;744;left
2018-12-05 10:11:07,811;click;374;785;left
2018-12-05 10:11:08,127;click;374;785;left
2018-12-05 10:11:08,720;click;374;785;left
2018-12-05 10:11:09,200;click;374;785;left
2018-12-05 10:11:10,000;click;374;785;left
2018-12-05 10:11:10,369;click;374;785;left
2018-12-05 10:11:12,199;click;374;785;left
2018-12-05 10:11:18,080;click;377;591;left
2018-12-05 10:11:18,296;click;377;591;left
2018-12-05 10:11:18,487;click;377;591;left
2018-12-05 10:11:18,704;click;377;591;left
2018-12-05 10:11:19,463;click;377;591;left
2018-12-05 10:11:24,963;click;1024;808;left
2018-12-05 10:11:44,456;click;892;710;left
2018-12-05 10:11:52,279;click;168;372;left
2018-12-05 10:11:58,388;click;194;529;left
2018-12-05 10:12:01,683;click;376;745;left
2018-12-05 10:12:01,927;click;376;745;left
2018-12-05 10:12:02,135;click;376;745;left
2018-12-05 10:12:02,833;click;376;745;left
2018-12-05 10:12:04,981;click;378;780;left
2018-12-05 10:12:05,191;click;378;780;left
2018-12-05 10:12:05,945;click;378;781;left
2018-12-05 10:12:06,568;click;378;781;left
2018-12-05 10:12:07,499;click;377;781;left
2018-12-05 10:12:08,411;click;376;836;left
2018-12-05 10:12:11,355;click;1072;691;left
2018-12-05 10:12:13,327;click;1058;595;left
2018-12-05 10:12:52,684;click;409;1001;left
2018-12-05 10:13:07,774;click;1087;92;left
