2018-12-12 10:51:25,466;click;1614;333;left
2018-12-12 10:51:50,081;click;309;283;left
2018-12-12 10:52:02,206;click;289;609;left
2018-12-12 10:52:03,068;click;293;609;left
2018-12-12 10:52:04,350;click;524;505;left
2018-12-12 10:52:24,549;click;1487;790;left
2018-12-12 10:52:27,180;click;278;221;left
2018-12-12 10:52:31,134;click;934;23;left
2018-12-12 10:52:33,418;click;955;560;left
2018-12-12 10:52:36,104;click;1663;392;left
2018-12-12 10:52:40,372;click;259;870;left
2018-12-12 10:52:42,244;click;263;952;left
2018-12-12 10:52:51,498;click;257;679;left
2018-12-12 10:52:52,798;click;283;734;left
2018-12-12 10:52:53,671;click;276;821;left
2018-12-12 10:52:56,710;click;1511;669;left
2018-12-12 10:52:58,336;click;313;234;left
2018-12-12 10:52:59,910;click;729;560;left
2018-12-12 10:53:12,094;click;1485;745;left
2018-12-12 10:53:18,439;click;1003;714;left
2018-12-12 10:53:22,972;click;944;647;left
2018-12-12 10:53:25,402;click;1263;729;left
2018-12-12 10:53:33,335;click;945;628;left
2018-12-12 10:53:34,368;click;830;543;left
2018-12-12 10:53:35,649;click;1517;480;left
2018-12-12 10:53:37,082;click;1421;614;left
2018-12-12 10:53:41,680;click;1520;371;left
2018-12-12 10:53:46,024;click;1520;993;left
2018-12-12 10:53:58,895;click;268;588;left
2018-12-12 10:54:04,514;click;1509;626;left
2018-12-12 10:54:18,679;click;1502;608;left
2018-12-12 10:54:24,183;click;1295;423;left
2018-12-12 10:54:31,938;click;1125;896;left
2018-12-12 10:54:33,373;click;999;764;left
2018-12-12 10:54:35,134;click;1204;804;left
2018-12-12 10:54:46,853;click;306;773;left
2018-12-12 10:54:47,189;click;255;773;left
2018-12-12 10:54:53,545;click;1516;711;left
2018-12-12 10:55:01,102;click;1399;553;left
2018-12-12 10:55:20,225;click;1145;609;left
2018-12-12 10:55:25,376;click;772;463;left
2018-12-12 10:55:28,758;click;456;704;left
2018-12-12 10:55:38,693;click;1392;826;left
2018-12-12 10:55:41,285;click;1497;909;left
2018-12-12 10:55:44,084;click;1497;878;left
2018-12-12 10:55:44,851;click;1505;878;left
2018-12-12 10:55:47,715;click;620;690;left
2018-12-12 10:55:49,612;click;461;628;left
2018-12-12 10:56:18,603;click;1657;395;left
2018-12-12 10:56:20,259;click;1275;409;left
2018-12-12 10:56:21,302;click;1260;691;left
2018-12-12 10:56:37,330;click;1532;858;left
2018-12-12 10:56:51,077;click;1272;423;left
2018-12-12 10:56:51,290;click;1272;423;left
2018-12-12 10:56:52,170;click;1192;422;left
2018-12-12 10:56:58,468;click;1265;373;left
2018-12-12 10:56:58,674;click;1265;373;left
2018-12-12 10:56:59,273;click;1272;417;left
2018-12-12 10:56:59,474;click;1272;417;left
2018-12-12 10:56:59,929;click;1272;417;left
2018-12-12 10:57:00,490;click;1272;417;left
2018-12-12 10:57:00,722;click;1272;417;left
2018-12-12 10:57:01,194;click;1272;417;left
2018-12-12 10:57:04,141;click;1262;463;left
2018-12-12 10:57:04,314;click;1262;463;left
2018-12-12 10:57:04,505;click;1262;463;left
2018-12-12 10:57:04,698;click;1262;463;left
2018-12-12 10:57:05,177;click;1262;463;left
2018-12-12 10:57:20,123;click;1379;758;left
2018-12-12 10:57:25,457;click;24;65;left
2018-12-12 10:57:37,924;click;320;404;left
2018-12-12 10:57:40,256;click;299;610;left
2018-12-12 10:57:45,043;click;312;605;left
2018-12-12 10:57:46,609;click;541;509;left
2018-12-12 10:57:50,555;click;1608;969;left
2018-12-12 10:57:57,153;click;1271;541;left
2018-12-12 10:57:57,305;click;1271;541;left
2018-12-12 10:57:57,528;click;1271;541;left
2018-12-12 10:57:57,960;click;1271;541;left
2018-12-12 10:58:00,583;click;1281;592;left
2018-12-12 10:58:00,752;click;1281;592;left
2018-12-12 10:58:00,920;click;1281;592;left
2018-12-12 10:58:01,088;click;1281;592;left
2018-12-12 10:58:01,480;click;1281;592;left
2018-12-12 10:58:03,032;click;1262;637;left
2018-12-12 10:58:06,858;click;1435;891;left
2018-12-12 10:58:27,650;click;347;1079;left
2018-12-12 10:58:30,574;click;1728;325;left
