2018-12-14 17:21:59,156;click;510;344;left
2018-12-14 17:22:04,208;click;532;633;left
2018-12-14 17:22:16,964;click;1457;781;left
2018-12-14 17:22:20,299;click;362;230;left
2018-12-14 17:22:21,747;click;729;564;left
2018-12-14 17:22:38,583;click;1546;774;left
2018-12-14 17:23:16,273;click;1134;402;left
2018-12-14 17:23:17,671;click;1576;322;left
2018-12-14 17:23:26,985;click;316;280;left
2018-12-14 17:23:41,831;click;331;415;left
2018-12-14 17:23:47,287;click;284;609;left
2018-12-14 17:23:48,735;click;325;605;left
2018-12-14 17:23:51,806;click;1460;620;left
2018-12-14 17:24:03,526;click;25;59;left
2018-12-14 17:24:14,846;click;26;62;left
2018-12-14 17:24:23,397;click;534;930;left
2018-12-14 17:24:34,065;click;1443;530;left
2018-12-14 17:24:38,285;click;359;232;left
2018-12-14 17:24:38,457;click;359;232;left
2018-12-14 17:25:07,365;click;1584;1014;left
2018-12-14 17:25:17,013;click;1114;736;left
2018-12-14 17:25:20,541;click;927;568;left
2018-12-14 17:25:41,025;click;1519;552;left
2018-12-14 17:25:46,716;click;1376;344;left
2018-12-14 17:25:53,843;click;1319;603;left
2018-12-14 17:26:00,617;click;1201;769;left
2018-12-14 17:26:02,013;click;959;578;left
2018-12-14 17:26:03,693;click;944;571;left
2018-12-14 17:26:06,745;click;939;513;left
2018-12-14 17:26:09,680;click;940;519;left
2018-12-14 17:26:23,835;click;935;527;left
2018-12-14 17:26:26,175;click;1221;443;left
2018-12-14 17:26:26,986;click;1269;445;left
2018-12-14 17:26:28,119;click;881;477;left
2018-12-14 17:26:31,146;click;829;484;left
2018-12-14 17:26:39,582;click;273;744;left
2018-12-14 17:27:10,966;click;267;533;left
2018-12-14 17:27:13,325;click;1490;711;left
2018-12-14 17:27:44,973;click;1367;380;left
2018-12-14 17:27:51,452;click;1132;618;left
2018-12-14 17:28:05,167;click;1566;460;left
2018-12-14 17:28:16,494;click;1416;331;left
2018-12-14 17:28:27,081;click;772;333;left
2018-12-14 17:28:32,912;click;597;515;left
2018-12-14 17:28:36,701;click;552;538;left
2018-12-14 17:28:38,110;click;864;484;left
2018-12-14 17:28:40,116;click;604;518;left
2018-12-14 17:28:58,614;click;1563;705;left
2018-12-14 17:29:02,260;click;870;790;left
2018-12-14 17:29:22,700;click;158;664;left
2018-12-14 17:29:47,238;click;21;61;left
2018-12-14 17:30:08,277;click;68;67;left
2018-12-14 17:30:29,973;click;24;58;left
2018-12-14 17:30:39,668;click;24;58;left
2018-12-14 17:30:50,892;click;317;277;left
2018-12-14 17:30:59,595;click;1361;366;left
2018-12-14 17:31:02,127;click;1361;366;left
2018-12-14 17:31:29,906;click;499;283;left
2018-12-14 17:31:30,530;click;521;339;left
2018-12-14 17:31:35,012;click;500;293;left
2018-12-14 17:31:35,890;click;500;346;left
2018-12-14 17:31:41,322;click;534;647;left
2018-12-14 17:31:46,387;click;1492;792;left
2018-12-14 17:31:49,357;click;606;230;left
2018-12-14 17:31:49,522;click;606;230;left
2018-12-14 17:31:56,681;click;1568;745;left
2018-12-14 17:32:06,918;click;278;579;left
2018-12-14 17:32:18,041;click;1485;789;left
2018-12-14 17:32:21,963;click;1505;459;left
2018-12-14 17:32:24,256;click;798;557;left
2018-12-14 17:32:26,743;click;1018;467;left
2018-12-14 17:32:26,896;click;1018;467;left
2018-12-14 17:32:28,753;click;747;561;left
2018-12-14 17:32:29,834;click;576;233;left
2018-12-14 17:32:31,079;click;748;558;left
2018-12-14 17:32:36,174;click;1517;1008;left
2018-12-14 17:32:46,873;click;267;587;left
2018-12-14 17:32:49,062;click;1541;511;left
2018-12-14 17:32:54,678;click;1380;231;left
2018-12-14 17:32:56,929;click;1384;262;left
2018-12-14 17:33:01,280;click;1380;378;left
2018-12-14 17:33:03,117;click;1317;295;left
2018-12-14 17:33:03,279;click;1317;295;left
2018-12-14 17:33:09,197;click;1351;356;left
2018-12-14 17:33:25,273;click;1594;859;left
2018-12-14 17:33:58,877;click;1271;550;left
2018-12-14 17:34:04,494;click;1271;550;left
2018-12-14 17:34:04,710;click;1271;550;left
2018-12-14 17:34:04,934;click;1271;550;left
2018-12-14 17:34:16,589;click;1415;882;left
2018-12-14 17:34:21,990;click;21;58;left
2018-12-14 17:34:28,535;click;1656;190;left
2018-12-14 17:34:37,820;click;1620;985;left
2018-12-14 17:34:41,679;click;1468;340;left
2018-12-14 17:34:44,829;click;406;191;left
2018-12-14 17:34:45,669;click;410;256;left
2018-12-14 17:34:49,634;click;413;342;left
2018-12-14 17:34:54,901;click;523;638;left
2018-12-14 17:35:04,037;click;1615;982;left
2018-12-14 17:35:08,813;click;1280;671;left
2018-12-14 17:35:12,581;click;1279;1005;left
2018-12-14 17:35:14,972;click;1522;989;left
2018-12-14 17:35:24,132;click;1272;671;left
2018-12-14 17:35:24,331;click;1272;671;left
2018-12-14 17:35:24,524;click;1272;671;left
2018-12-14 17:35:24,724;click;1272;671;left
2018-12-14 17:35:25,012;click;1272;671;left
2018-12-14 17:35:26,180;click;1272;671;left
2018-12-14 17:35:29,932;click;1265;1002;left
2018-12-14 17:35:32,356;click;1597;221;left
2018-12-14 17:35:47,251;click;1381;634;left
2018-12-14 17:35:54,707;click;1381;634;left
2018-12-14 17:36:02,379;click;1381;634;left
2018-12-14 17:36:04,499;click;1665;638;left
2018-12-14 17:36:04,875;click;1665;638;left
2018-12-14 17:36:05,091;click;1665;638;left
2018-12-14 17:36:05,259;click;1665;638;left
2018-12-14 17:36:05,467;click;1665;638;left
2018-12-14 17:36:05,811;click;1665;638;left
2018-12-14 17:36:06,379;click;1665;638;left
2018-12-14 17:36:10,675;click;1576;992;left
2018-12-14 17:36:12,827;click;1295;997;left
2018-12-14 17:36:17,411;click;1560;992;left
2018-12-14 17:36:22,947;click;1271;723;left
2018-12-14 17:36:23,130;click;1271;723;left
2018-12-14 17:36:23,347;click;1271;723;left
2018-12-14 17:36:23,554;click;1271;723;left
2018-12-14 17:36:23,930;click;1271;723;left
2018-12-14 17:36:27,835;click;1191;996;left
2018-12-14 17:36:29,954;click;1498;996;left
2018-12-14 17:36:32,363;click;1271;628;left
2018-12-14 17:36:32,819;click;1271;628;left
2018-12-14 17:36:34,642;click;1226;1015;left
2018-12-14 17:36:36,770;click;508;288;left
2018-12-14 17:36:37,746;click;516;335;left
2018-12-14 17:36:41,938;click;505;342;left
2018-12-14 17:36:47,825;click;504;644;left
2018-12-14 17:36:53,794;click;1554;1001;left
2018-12-14 17:36:57,409;click;1279;766;left
2018-12-14 17:37:03,123;click;1192;669;left
2018-12-14 17:37:06,234;click;1255;1009;left
2018-12-14 17:37:14,998;click;1505;997;left
2018-12-14 17:37:18,155;click;1479;449;left
2018-12-14 17:37:19,154;click;1646;219;left
2018-12-14 17:38:13,845;click;1638;519;left
2018-12-14 17:38:14,528;click;1638;519;left
2018-12-14 17:38:14,837;click;1638;519;left
2018-12-14 17:38:15,444;click;1638;519;left
2018-12-14 17:38:15,934;click;1638;519;left
2018-12-14 17:38:16,736;click;1638;519;left
2018-12-14 17:38:18,687;click;1638;519;left
2018-12-14 17:38:26,205;click;1608;587;left
2018-12-14 17:38:26,513;click;1608;587;left
2018-12-14 17:38:26,808;click;1608;587;left
2018-12-14 17:38:27,132;click;1608;587;left
2018-12-14 17:38:27,671;click;1608;587;left
2018-12-14 17:38:41,741;click;1542;978;left
2018-12-14 17:38:48,937;click;1185;757;left
2018-12-14 17:38:51,239;click;1278;722;left
2018-12-14 17:38:51,383;click;1278;722;left
2018-12-14 17:38:51,551;click;1278;722;left
