2018-12-21 10:16:58,590;'r'
2018-12-21 10:16:58,664;'e'
2018-12-21 10:16:58,802;'n'
2018-12-21 10:16:58,880;'t'
2018-12-21 10:16:59,020;'i'
2018-12-21 10:16:59,085;'e'
2018-12-21 10:16:59,158;'r'
2018-12-21 10:17:00,625;Key.enter
2018-12-21 10:17:55,330;Key.shift
2018-12-21 10:17:55,439;'h'
2018-12-21 10:17:55,681;'a'
2018-12-21 10:17:55,785;'p'
2018-12-21 10:17:55,913;'p'
2018-12-21 10:17:55,978;'y'
2018-12-21 10:17:56,121;Key.space
2018-12-21 10:17:56,314;Key.shift
2018-12-21 10:17:56,705;'h'
2018-12-21 10:17:56,969;'o'
2018-12-21 10:17:57,110;'l'
2018-12-21 10:17:57,289;'i'
2018-12-21 10:17:57,353;'d'
2018-12-21 10:17:57,409;'a'
2018-12-21 10:17:57,572;'y'
2018-12-21 10:17:57,673;'s'
2018-12-21 10:22:02,424;'2'
2018-12-21 10:22:06,076;'8'
2018-12-21 10:22:09,419;'1'
2018-12-21 10:23:46,857;'5'
2018-12-21 10:23:47,834;Key.tab
2018-12-21 10:23:49,812;'5'
2018-12-21 10:23:51,669;Key.tab
2018-12-21 10:23:52,476;'1'
2018-12-21 10:25:38,503;'8'
2018-12-21 10:25:40,511;'2'
2018-12-21 10:25:48,982;Key.right
2018-12-21 10:25:49,422;Key.backspace
2018-12-21 10:25:53,862;'5'
2018-12-21 10:25:58,742;'2'
2018-12-21 10:26:05,325;Key.backspace
2018-12-21 10:26:34,652;'5'
2018-12-21 10:26:34,780;Key.tab
2018-12-21 10:26:34,932;Key.tab
2018-12-21 10:26:35,100;'5'
2018-12-21 10:26:37,227;Key.tab
2018-12-21 10:26:39,179;Key.tab
2018-12-21 10:26:40,667;Key.tab
2018-12-21 10:26:42,003;Key.tab
2018-12-21 10:26:44,171;Key.tab
2018-12-21 10:26:44,763;Key.tab
2018-12-21 10:26:47,051;Key.tab
2018-12-21 10:26:47,491;Key.tab
2018-12-21 10:26:47,907;Key.tab
2018-12-21 10:26:48,307;Key.tab
2018-12-21 10:26:55,859;'5'
2018-12-21 10:26:56,291;Key.tab
2018-12-21 10:26:58,139;'1'
