2018-12-21 10:01:33,320;pos
2018-12-21 10:01:49,320;pos
2018-12-21 10:01:59,360;pos
2018-12-21 10:02:12,407;pos
2018-12-21 10:02:59,296;pos
2018-12-21 10:03:23,015;neg
2018-12-21 10:03:31,631;pos
2018-12-21 10:03:48,687;pos
2018-12-21 10:04:01,079;pos
2018-12-21 10:04:07,958;neg
2018-12-21 10:04:27,151;neg
2018-12-21 10:04:59,719;pos
2018-12-21 10:05:09,879;pos
2018-12-21 10:05:51,534;pos
2018-12-21 10:06:41,126;neg
2018-12-21 10:06:44,781;pos
2018-12-21 10:06:59,156;pos
2018-12-21 10:08:01,453;pos
2018-12-21 10:08:28,881;neg
2018-12-21 10:08:41,990;neg
2018-12-21 10:08:55,453;neg
2018-12-21 10:09:18,354;pos
2018-12-21 10:09:41,607;pos
2018-12-21 10:10:32,393;pos
2018-12-21 10:11:03,581;pos
2018-12-21 10:11:19,867;neg
