2018-12-17 11:26:24,827;Key.shift_r
2018-12-17 11:26:24,935;'h'
2018-12-17 11:26:25,179;'a'
2018-12-17 11:26:25,539;'p'
2018-12-17 11:26:25,667;'p'
2018-12-17 11:26:25,803;'y'
2018-12-17 11:26:26,403;Key.space
2018-12-17 11:26:26,741;Key.shift_r
2018-12-17 11:26:26,969;'h'
2018-12-17 11:26:27,243;'o'
2018-12-17 11:26:27,483;'l'
2018-12-17 11:26:27,786;'i'
2018-12-17 11:26:28,090;'d'
2018-12-17 11:26:28,189;'a'
2018-12-17 11:26:28,451;'y'
2018-12-17 11:26:29,084;'s'
2018-12-17 11:27:52,133;'1'
