2018-12-17 11:12:11,686;Key.backspace
2018-12-17 11:14:54,183;Key.backspace
2018-12-17 11:14:54,902;Key.shift_r
2018-12-17 11:14:55,016;'h'
2018-12-17 11:14:55,194;'a'
2018-12-17 11:14:55,434;'p'
2018-12-17 11:14:55,554;'p'
2018-12-17 11:14:55,709;'y'
2018-12-17 11:14:56,354;Key.space
2018-12-17 11:14:56,572;Key.shift_r
2018-12-17 11:14:56,701;'h'
2018-12-17 11:14:56,852;'o'
2018-12-17 11:14:57,090;'l'
2018-12-17 11:14:57,336;'i'
2018-12-17 11:14:57,831;'e'
2018-12-17 11:14:57,831;'d'
2018-12-17 11:14:57,954;'q'
2018-12-17 11:14:57,954;'a'
2018-12-17 11:14:58,268;'y'
2018-12-17 11:14:59,155;Key.backspace
2018-12-17 11:14:59,617;Key.backspace
2018-12-17 11:14:59,898;Key.backspace
2018-12-17 11:15:00,761;'a'
2018-12-17 11:15:01,121;'y'
2018-12-17 11:15:01,581;'s'
2018-12-17 11:15:50,501;Key.backspace
2018-12-17 11:16:21,557;'8'
2018-12-17 11:16:22,715;Key.backspace
2018-12-17 11:16:22,866;Key.backspace
2018-12-17 11:16:23,332;'8'
2018-12-17 11:16:26,147;Key.tab
2018-12-17 11:16:32,678;Key.backspace
2018-12-17 11:16:35,117;'5'
2018-12-17 11:16:54,123;Key.backspace
2018-12-17 11:16:54,711;'5'
2018-12-17 11:17:01,114;'5'
2018-12-17 11:17:04,357;'1'
2018-12-17 11:18:30,728;'2'
2018-12-17 11:18:34,517;'8'
2018-12-17 11:18:36,317;'5'
2018-12-17 11:19:34,071;'s'
2018-12-17 11:19:34,341;'p'
2018-12-17 11:19:34,426;'r'
2018-12-17 11:19:34,536;'e'
2018-12-17 11:19:34,620;'a'
2018-12-17 11:19:34,768;'d'
2018-12-17 11:19:35,112;'s'
2018-12-17 11:19:35,197;'h'
2018-12-17 11:19:35,281;'i'
2018-12-17 11:19:35,324;'r'
2018-12-17 11:19:35,479;'t'
2018-12-17 11:19:36,964;Key.enter
