2018-12-14 14:34:03,847;click;1120;208;left
2018-12-14 14:34:05,294;click;735;211;right
2018-12-14 14:34:06,478;click;1131;208;left
2018-12-14 14:34:09,540;click;1591;183;left
2018-12-14 14:35:08,601;click;304;283;left
2018-12-14 14:35:21,397;click;276;614;left
2018-12-14 14:35:22,332;click;297;600;left
2018-12-14 14:35:23,966;click;191;564;left
2018-12-14 14:35:34,714;click;1485;777;left
2018-12-14 14:35:36,315;click;353;217;left
2018-12-14 14:35:40,360;click;741;557;left
2018-12-14 14:35:48,252;click;1454;745;left
2018-12-14 14:35:55,497;click;1125;716;left
2018-12-14 14:35:56,369;click;1129;719;left
2018-12-14 14:36:08,279;click;934;508;left
2018-12-14 14:36:14,907;click;939;632;left
2018-12-14 14:36:16,690;click;1004;723;left
2018-12-14 14:36:18,075;click;1134;777;left
2018-12-14 14:36:19,315;click;806;418;left
2018-12-14 14:36:20,045;click;913;586;left
2018-12-14 14:36:20,634;click;906;442;left
2018-12-14 14:36:21,747;click;264;554;left
2018-12-14 14:36:27,306;click;1466;499;left
2018-12-14 14:36:30,012;click;1477;452;left
2018-12-14 14:36:33,690;click;1668;378;left
2018-12-14 14:36:35,707;click;1493;617;left
2018-12-14 14:36:38,203;click;1531;458;left
2018-12-14 14:36:47,552;click;741;574;left
2018-12-14 14:36:54,384;click;765;868;left
2018-12-14 14:36:55,451;click;1503;631;left
2018-12-14 14:36:56,650;click;1484;458;left
2018-12-14 14:37:01,795;click;1305;404;left
2018-12-14 14:37:04,624;click;1034;773;left
2018-12-14 14:37:06,924;click;641;726;left
2018-12-14 14:37:15,972;click;265;660;left
2018-12-14 14:37:17,642;click;1513;583;left
2018-12-14 14:37:27,929;click;761;456;left
2018-12-14 14:37:28,718;click;721;508;left
2018-12-14 14:37:45,898;click;1126;606;left
2018-12-14 14:37:56,392;click;1396;701;left
2018-12-14 14:37:58,958;click;1508;757;left
2018-12-14 14:38:02,658;click;1497;785;left
2018-12-14 14:38:07,342;click;1567;694;left
2018-12-14 14:38:10,551;click;1598;699;left
2018-12-14 14:38:11,775;click;1560;699;left
2018-12-14 14:38:12,735;click;426;575;left
2018-12-14 14:38:14,655;click;463;701;left
2018-12-14 14:38:16,552;click;966;507;left
2018-12-14 14:38:18,719;click;1402;705;left
2018-12-14 14:38:21,938;click;1507;751;left
2018-12-14 14:38:27,576;click;626;579;left
2018-12-14 14:38:29,116;click;590;531;left
2018-12-14 14:38:30,015;click;624;595;left
2018-12-14 14:38:34,914;click;427;485;left
2018-12-14 14:38:35,576;click;443;500;left
2018-12-14 14:38:53,569;click;708;673;left
2018-12-14 14:38:55,481;click;1687;265;left
2018-12-14 14:38:55,868;click;1665;262;left
2018-12-14 14:38:57,039;click;572;579;left
2018-12-14 14:39:02,103;click;1218;524;left
2018-12-14 14:39:04,080;click;1540;508;left
2018-12-14 14:39:05,117;click;603;502;left
2018-12-14 14:39:16,278;click;1521;849;left
2018-12-14 14:39:18,174;click;1271;372;left
2018-12-14 14:39:18,429;click;1271;372;left
2018-12-14 14:39:18,613;click;1271;372;left
2018-12-14 14:39:20,605;click;1182;373;left
2018-12-14 14:39:21,329;click;1273;426;left
2018-12-14 14:39:21,517;click;1273;426;left
2018-12-14 14:39:21,693;click;1273;426;left
2018-12-14 14:39:21,861;click;1273;426;left
2018-12-14 14:39:22,013;click;1273;426;left
2018-12-14 14:39:22,165;click;1273;426;left
2018-12-14 14:39:22,605;click;1273;426;left
2018-12-14 14:39:24,213;click;1274;475;left
2018-12-14 14:39:24,437;click;1274;475;left
2018-12-14 14:39:24,661;click;1274;475;left
2018-12-14 14:39:24,821;click;1274;475;left
2018-12-14 14:39:25,261;click;1274;475;left
2018-12-14 14:39:34,816;click;1243;766;left
2018-12-14 14:39:52,111;click;323;289;left
2018-12-14 14:39:59,724;click;262;650;left
2018-12-14 14:40:01,110;click;260;548;left
2018-12-14 14:40:02,370;click;278;489;left
2018-12-14 14:40:03,609;click;303;473;left
2018-12-14 14:40:05,528;click;600;372;left
2018-12-14 14:40:09,052;click;261;515;left
2018-12-14 14:40:09,636;click;265;611;left
2018-12-14 14:40:10,825;click;265;692;left
2018-12-14 14:40:12,559;click;268;675;left
2018-12-14 14:40:22,805;click;1551;853;left
2018-12-14 14:40:26,414;click;1273;371;left
2018-12-14 14:40:26,747;click;1273;371;left
2018-12-14 14:40:26,931;click;1273;371;left
2018-12-14 14:40:27,107;click;1273;371;left
2018-12-14 14:40:27,531;click;1273;371;left
2018-12-14 14:40:30,031;click;1268;427;left
2018-12-14 14:40:30,235;click;1268;427;left
2018-12-14 14:40:30,395;click;1268;427;left
2018-12-14 14:40:30,563;click;1268;427;left
2018-12-14 14:40:32,067;click;1273;470;left
2018-12-14 14:40:33,721;click;1402;763;left
2018-12-14 14:40:41,651;click;1599;677;left
2018-12-14 14:40:41,858;click;1602;677;left
2018-12-14 14:40:43,123;click;1570;679;left
2018-12-14 14:40:44,122;click;1660;678;left
2018-12-14 14:41:11,706;click;1576;147;left
