2018-12-14 14:34:08,075;Key.ctrl_l
2018-12-14 14:34:08,275;'c'
2018-12-14 14:34:51,462;Key.alt_l
2018-12-14 14:34:51,539;Key.tab
2018-12-14 14:36:39,771;'r'
2018-12-14 14:36:39,954;'e'
2018-12-14 14:36:40,107;'n'
2018-12-14 14:36:40,291;'t'
2018-12-14 14:36:40,439;'i'
2018-12-14 14:36:40,686;'e'
2018-12-14 14:36:40,824;'r'
2018-12-14 14:36:44,206;Key.enter
2018-12-14 14:36:53,199;Key.backspace
2018-12-14 14:36:57,511;'r'
2018-12-14 14:36:57,692;'e'
2018-12-14 14:36:57,813;'n'
2018-12-14 14:36:57,961;'t'
2018-12-14 14:36:58,048;'i'
2018-12-14 14:36:58,209;'e'
2018-12-14 14:36:59,683;'r'
2018-12-14 14:36:59,916;Key.enter
2018-12-14 14:37:19,958;Key.shift
2018-12-14 14:37:20,083;'h'
2018-12-14 14:37:20,369;'a'
2018-12-14 14:37:20,530;'p'
2018-12-14 14:37:20,657;'p'
2018-12-14 14:37:20,985;'y'
2018-12-14 14:37:21,129;Key.space
2018-12-14 14:37:21,887;Key.shift
2018-12-14 14:37:22,041;'h'
2018-12-14 14:37:22,369;'o'
2018-12-14 14:37:22,569;'l'
2018-12-14 14:37:22,757;'i'
2018-12-14 14:37:22,873;'d'
2018-12-14 14:37:23,063;'a'
2018-12-14 14:37:23,361;'y'
2018-12-14 14:37:23,665;'s'
2018-12-14 14:41:08,945;Key.alt_l
2018-12-14 14:41:09,093;Key.tab
