2018-12-14 14:22:31,494;click;620;951;left
2018-12-14 14:22:34,469;click;1394;662;left
2018-12-14 14:22:45,189;click;1645;751;left
2018-12-14 14:22:51,293;click;755;954;left
2018-12-14 14:22:51,981;click;816;939;left
2018-12-14 14:22:52,548;click;708;947;left
2018-12-14 14:22:53,045;click;682;950;left
2018-12-14 14:23:07,764;click;576;451;left
2018-12-14 14:23:18,460;click;233;432;left
2018-12-14 14:23:29,244;click;1682;331;left
2018-12-14 14:23:30,924;click;248;594;left
2018-12-14 14:23:33,875;click;361;340;left
2018-12-14 14:23:35,051;click;341;340;left
2018-12-14 14:23:36,211;click;449;506;left
2018-12-14 14:23:38,147;click;325;232;left
2018-12-14 14:23:39,092;click;733;558;left
2018-12-14 14:23:44,067;click;1399;748;left
2018-12-14 14:23:46,579;click;747;550;left
2018-12-14 14:23:50,643;click;828;610;left
2018-12-14 14:23:52,835;click;744;519;left
2018-12-14 14:23:58,003;click;632;474;left
2018-12-14 14:24:00,411;click;704;506;left
2018-12-14 14:24:02,403;click;610;449;left
2018-12-14 14:24:05,770;click;607;444;left
2018-12-14 14:24:07,658;click;634;497;left
2018-12-14 14:24:09,707;click;605;469;left
2018-12-14 14:24:13,786;click;628;446;left
2018-12-14 14:24:16,242;click;629;467;left
2018-12-14 14:24:17,818;click;679;518;left
2018-12-14 14:24:18,962;click;614;446;left
2018-12-14 14:24:21,770;click;519;559;left
2018-12-14 14:24:27,170;click;612;439;left
2018-12-14 14:24:32,370;click;1117;580;left
2018-12-14 14:24:34,042;click;1456;632;left
2018-12-14 14:24:36,033;click;1322;619;left
2018-12-14 14:24:36,994;click;1393;563;left
2018-12-14 14:24:40,785;click;1384;598;left
2018-12-14 14:24:42,537;click;1186;535;left
2018-12-14 14:24:45,001;click;622;456;left
2018-12-14 14:24:55,961;click;780;527;left
2018-12-14 14:24:58,737;click;626;404;left
2018-12-14 14:25:00,017;click;749;507;left
2018-12-14 14:25:10,889;click;760;935;left
2018-12-14 14:25:11,521;click;839;941;left
2018-12-14 14:25:15,257;click;662;934;left
2018-12-14 14:25:16,289;click;742;494;left
2018-12-14 14:25:20,729;click;764;638;left
2018-12-14 14:25:21,584;click;782;662;left
2018-12-14 14:25:24,112;click;767;631;left
2018-12-14 14:25:25,352;click;1022;625;left
2018-12-14 14:25:31,120;click;673;938;left
2018-12-14 14:25:33,352;click;268;423;left
2018-12-14 14:25:34,752;click;460;370;left
2018-12-14 14:25:39,600;click;421;425;left
2018-12-14 14:25:42,888;click;1035;381;left
2018-12-14 14:25:52,143;click;620;378;left
2018-12-14 14:25:52,352;click;620;378;left
2018-12-14 14:25:53,712;click;1438;749;left
2018-12-14 14:25:55,535;click;835;671;left
2018-12-14 14:26:01,383;click;1000;741;left
2018-12-14 14:26:17,327;click;766;949;left
2018-12-14 14:26:19,039;click;234;510;left
2018-12-14 14:26:21,135;click;745;432;left
2018-12-14 14:26:21,327;click;745;432;left
2018-12-14 14:26:22,023;click;788;434;left
2018-12-14 14:26:22,223;click;788;434;left
2018-12-14 14:26:24,238;click;752;433;left
2018-12-14 14:26:24,447;click;752;433;left
2018-12-14 14:26:24,622;click;752;433;left
2018-12-14 14:26:24,799;click;752;433;left
2018-12-14 14:26:24,967;click;752;433;left
2018-12-14 14:26:25,303;click;752;433;left
2018-12-14 14:26:25,903;click;752;433;left
2018-12-14 14:26:26,534;click;752;433;left
2018-12-14 14:26:27,334;click;752;433;left
2018-12-14 14:26:27,807;click;752;433;left
2018-12-14 14:26:29,238;click;1556;488;left
2018-12-14 14:26:45,895;click;1624;706;left
