2018-12-14 10:42:05,885;Key.alt_l
2018-12-14 10:42:06,057;Key.tab
2018-12-14 10:42:06,628;Key.tab
2018-12-14 10:48:00,028;'-'
2018-12-14 10:48:01,169;'-'
2018-12-14 10:52:32,264;Key.shift
2018-12-14 10:52:32,456;'h'
2018-12-14 10:52:32,872;'a'
2018-12-14 10:52:33,272;'p'
2018-12-14 10:52:33,416;'p'
2018-12-14 10:52:34,080;'y'
2018-12-14 10:52:34,280;Key.space
2018-12-14 10:52:34,392;Key.shift
2018-12-14 10:52:34,553;'h'
2018-12-14 10:52:35,664;'o'
2018-12-14 10:52:35,904;'l'
2018-12-14 10:52:36,112;'i'
2018-12-14 10:52:36,712;'d'
2018-12-14 10:52:36,976;'a'
2018-12-14 10:52:37,632;'y'
2018-12-14 10:52:37,824;'s'
2018-12-14 10:57:26,864;'5'
2018-12-14 10:58:08,918;Key.alt_l
2018-12-14 10:58:09,024;Key.tab
