2018-12-20 11:12:15,044;click;309;284;left
2018-12-20 11:12:24,778;click;272;619;left
2018-12-20 11:12:26,065;click;312;611;left
2018-12-20 11:12:36,740;click;557;786;left
2018-12-20 11:12:36,990;click;557;786;left
2018-12-20 11:12:39,938;click;484;838;left
2018-12-20 11:12:43,818;click;487;877;left
2018-12-20 11:12:55,267;click;1520;635;left
2018-12-20 11:12:59,247;click;1522;446;left
2018-12-20 11:13:40,636;click;1185;590;left
2018-12-20 11:13:51,236;click;1079;850;left
2018-12-20 11:13:54,264;click;935;669;left
2018-12-20 11:14:00,267;click;716;532;left
2018-12-20 11:14:02,444;click;265;763;left
2018-12-20 11:14:09,260;click;1552;694;left
2018-12-20 11:14:16,443;click;766;466;left
2018-12-20 11:14:28,987;click;1144;738;left
2018-12-20 11:14:42,757;click;1435;549;left
2018-12-20 11:14:50,532;click;1630;711;left
2018-12-20 11:14:51,020;click;1630;711;left
2018-12-20 11:14:51,428;click;1630;711;left
2018-12-20 11:14:52,187;click;1630;711;left
2018-12-20 11:14:55,053;click;1626;590;left
2018-12-20 11:14:55,853;click;1626;591;left
2018-12-20 11:14:58,789;click;1392;714;left
2018-12-20 11:15:03,015;click;1500;758;left
2018-12-20 11:15:05,258;click;1504;755;left
2018-12-20 11:15:11,277;click;1498;790;left
2018-12-20 11:15:16,941;click;1604;760;left
2018-12-20 11:15:19,475;click;1456;794;left
2018-12-20 11:15:23,551;click;1595;766;left
2018-12-20 11:15:24,868;click;1612;758;left
2018-12-20 11:15:39,461;click;1594;759;left
2018-12-20 11:15:42,016;click;1437;791;left
2018-12-20 11:15:44,348;click;1515;761;left
2018-12-20 11:15:47,563;click;1361;707;left
2018-12-20 11:15:48,654;click;1397;707;left
2018-12-20 11:15:50,260;click;1506;762;left
2018-12-20 11:15:53,317;click;1493;790;left
2018-12-20 11:15:55,274;click;1451;790;left
2018-12-20 11:15:56,824;click;1611;761;left
2018-12-20 11:15:58,706;click;618;572;left
2018-12-20 11:16:02,556;click;1617;764;left
2018-12-20 11:16:04,533;click;1415;795;left
2018-12-20 11:16:07,294;click;623;689;left
2018-12-20 11:16:09,597;click;472;615;left
2018-12-20 11:16:14,117;click;1640;562;left
2018-12-20 11:16:14,494;click;1640;567;left
2018-12-20 11:16:14,734;click;1640;567;left
2018-12-20 11:16:15,251;click;1640;567;left
2018-12-20 11:16:15,431;click;1640;567;left
2018-12-20 11:16:16,399;click;1640;573;left
2018-12-20 11:16:18,280;click;456;566;left
2018-12-20 11:16:22,497;click;285;728;left
2018-12-20 11:16:24,864;click;281;819;left
2018-12-20 11:16:28,302;click;1570;674;left
2018-12-20 11:16:30,160;click;441;254;left
2018-12-20 11:16:31,178;click;797;582;left
2018-12-20 11:16:48,472;click;1585;982;left
2018-12-20 11:16:53,910;click;276;727;left
2018-12-20 11:16:54,502;click;270;667;left
2018-12-20 11:16:54,934;click;267;577;left
2018-12-20 11:16:59,481;click;328;295;left
2018-12-20 11:17:01,398;click;261;293;left
2018-12-20 11:17:04,445;click;273;490;left
2018-12-20 11:17:06,921;click;303;486;left
2018-12-20 11:17:11,116;click;566;367;left
2018-12-20 11:17:13,330;click;390;496;left
2018-12-20 11:17:15,064;click;531;667;left
2018-12-20 11:17:15,996;click;492;666;left
2018-12-20 11:17:19,146;click;489;711;left
2018-12-20 11:17:21,846;click;491;761;left
2018-12-20 11:17:28,576;click;591;382;left
2018-12-20 11:17:31,460;click;1567;975;left
2018-12-20 11:17:37,756;click;1238;892;left
2018-12-20 11:17:40,906;click;350;290;left
2018-12-20 11:17:43,768;click;278;488;left
2018-12-20 11:17:44,655;click;310;484;left
2018-12-20 11:17:49,871;click;580;360;left
2018-12-20 11:17:59,160;click;403;494;left
2018-12-20 11:18:02,912;click;496;669;left
2018-12-20 11:18:05,928;click;498;722;left
2018-12-20 11:18:08,295;click;492;766;left
2018-12-20 11:18:12,624;click;501;809;left
2018-12-20 11:18:19,425;click;1553;984;left
2018-12-20 11:18:23,859;click;1390;882;left
2018-12-20 11:18:53,308;click;1884;23;left
